cve_ent_mun,fecha,confirmados,decesos,pruebas,indice_vulnerabilidad
1001,12/4/2020,45,1,597,vulnerabilidad baja
1002,12/4/2020,1,0,9,sin vulnerabilidad
1003,12/4/2020,0,0,25,sin vulnerabilidad
1004,12/4/2020,0,0,5,sin vulnerabilidad
1005,12/4/2020,1,0,48,sin vulnerabilidad
1006,12/4/2020,5,0,25,sin vulnerabilidad
1007,12/4/2020,1,0,21,sin vulnerabilidad
1008,12/4/2020,0,0,4,No Disponible
1009,12/4/2020,1,0,7,sin vulnerabilidad
1010,12/4/2020,1,0,6,sin vulnerabilidad
1011,12/4/2020,0,0,13,vulnerabilidad baja
2001,12/4/2020,5,4,159,sin vulnerabilidad
2002,12/4/2020,112,11,504,vulnerabilidad baja
2003,12/4/2020,8,2,42,vulnerabilidad baja
2004,12/4/2020,204,24,836,vulnerabilidad media
2005,12/4/2020,5,1,42,vulnerabilidad media
3001,12/4/2020,0,1,27,vulnerabilidad baja
3002,12/4/2020,1,0,26,vulnerabilidad baja
3003,12/4/2020,32,3,328,sin vulnerabilidad
3008,12/4/2020,86,1,389,vulnerabilidad media
3009,12/4/2020,0,0,14,vulnerabilidad baja
4001,12/4/2020,1,0,3,vulnerabilidad media
4002,12/4/2020,8,0,44,vulnerabilidad baja
4003,12/4/2020,8,1,45,vulnerabilidad media
4004,12/4/2020,0,0,2,vulnerabilidad baja
4005,12/4/2020,0,0,1,vulnerabilidad media
4006,12/4/2020,0,0,1,vulnerabilidad media
4007,12/4/2020,0,0,1,vulnerabilidad media
4008,12/4/2020,0,0,0,vulnerabilidad media
4009,12/4/2020,0,0,3,vulnerabilidad baja
4010,12/4/2020,0,0,1,vulnerabilidad media
4011,12/4/2020,3,0,5,vulnerabilidad media
5001,12/4/2020,0,0,0,No Disponible
5002,12/4/2020,1,2,93,sin vulnerabilidad
5003,12/4/2020,1,0,20,sin vulnerabilidad
5004,12/4/2020,0,0,14,sin vulnerabilidad
5005,12/4/2020,0,0,1,sin vulnerabilidad
5006,12/4/2020,5,1,17,sin vulnerabilidad
5007,12/4/2020,0,0,10,vulnerabilidad baja
5008,12/4/2020,0,0,2,vulnerabilidad baja
5009,12/4/2020,0,0,6,sin vulnerabilidad
5010,12/4/2020,8,0,66,sin vulnerabilidad
5011,12/4/2020,0,0,0,sin vulnerabilidad
5012,12/4/2020,0,0,0,vulnerabilidad baja
5013,12/4/2020,0,0,0,vulnerabilidad media
5014,12/4/2020,1,1,3,vulnerabilidad baja
5015,12/4/2020,0,0,0,sin vulnerabilidad
5016,12/4/2020,0,0,0,sin vulnerabilidad
5017,12/4/2020,3,2,45,vulnerabilidad baja
5018,12/4/2020,84,9,468,sin vulnerabilidad
5019,12/4/2020,1,0,4,sin vulnerabilidad
5020,12/4/2020,1,1,32,sin vulnerabilidad
5021,12/4/2020,0,0,2,sin vulnerabilidad
5022,12/4/2020,0,0,6,sin vulnerabilidad
5023,12/4/2020,0,0,0,sin vulnerabilidad
5024,12/4/2020,0,0,2,sin vulnerabilidad
5025,12/4/2020,11,0,233,vulnerabilidad media
5026,12/4/2020,0,0,0,sin vulnerabilidad
5027,12/4/2020,2,0,25,sin vulnerabilidad
5028,12/4/2020,0,0,22,sin vulnerabilidad
5029,12/4/2020,2,1,12,sin vulnerabilidad
5030,12/4/2020,21,4,375,sin vulnerabilidad
5031,12/4/2020,1,1,13,sin vulnerabilidad
5032,12/4/2020,0,0,22,sin vulnerabilidad
5033,12/4/2020,0,1,32,sin vulnerabilidad
5034,12/4/2020,0,0,0,vulnerabilidad baja
5035,12/4/2020,19,1,297,vulnerabilidad media
5036,12/4/2020,0,0,2,vulnerabilidad baja
5037,12/4/2020,0,0,4,sin vulnerabilidad
5038,12/4/2020,0,0,4,sin vulnerabilidad
6001,12/4/2020,0,0,6,vulnerabilidad baja
6002,12/4/2020,2,1,33,sin vulnerabilidad
6003,12/4/2020,0,0,3,vulnerabilidad baja
6004,12/4/2020,0,0,0,vulnerabilidad baja
6005,12/4/2020,1,0,6,sin vulnerabilidad
6006,12/4/2020,0,0,0,vulnerabilidad baja
6007,12/4/2020,2,1,25,vulnerabilidad baja
6008,12/4/2020,0,0,0,vulnerabilidad baja
6009,12/4/2020,0,0,25,vulnerabilidad baja
6010,12/4/2020,2,0,22,vulnerabilidad baja
7001,12/4/2020,0,0,1,vulnerabilidad media
7002,12/4/2020,0,0,0,vulnerabilidad baja
7003,12/4/2020,0,0,0,vulnerabilidad alta
7004,12/4/2020,0,0,0,vulnerabilidad media
7005,12/4/2020,0,0,1,vulnerabilidad media
7006,12/4/2020,0,0,0,vulnerabilidad baja
7007,12/4/2020,0,0,0,vulnerabilidad media
7008,12/4/2020,0,0,1,vulnerabilidad baja
7009,12/4/2020,0,0,2,vulnerabilidad media
7010,12/4/2020,0,0,0,vulnerabilidad media
7011,12/4/2020,0,0,0,vulnerabilidad media
7012,12/4/2020,0,0,4,vulnerabilidad alta
7013,12/4/2020,0,0,0,vulnerabilidad baja
7014,12/4/2020,0,0,1,vulnerabilidad baja
7015,12/4/2020,1,0,1,vulnerabilidad media
7016,12/4/2020,0,0,1,vulnerabilidad baja
7017,12/4/2020,0,0,5,vulnerabilidad baja
7018,12/4/2020,0,0,0,vulnerabilidad baja
7019,12/4/2020,3,0,8,vulnerabilidad media
7020,12/4/2020,0,1,2,vulnerabilidad media
7021,12/4/2020,0,0,0,vulnerabilidad baja
7022,12/4/2020,0,0,0,vulnerabilidad media
7023,12/4/2020,0,0,0,vulnerabilidad alta
7024,12/4/2020,0,0,0,vulnerabilidad media
7025,12/4/2020,0,0,0,vulnerabilidad baja
7026,12/4/2020,0,0,0,vulnerabilidad alta
7027,12/4/2020,1,0,12,vulnerabilidad media
7028,12/4/2020,0,0,1,vulnerabilidad baja
7029,12/4/2020,0,0,0,vulnerabilidad baja
7030,12/4/2020,1,0,1,vulnerabilidad media
7031,12/4/2020,0,0,1,vulnerabilidad media
7032,12/4/2020,0,0,0,vulnerabilidad media
7033,12/4/2020,0,0,0,vulnerabilidad baja
7034,12/4/2020,0,0,0,vulnerabilidad alta
7035,12/4/2020,0,0,0,vulnerabilidad alta
7036,12/4/2020,0,0,0,vulnerabilidad media
7037,12/4/2020,0,0,1,vulnerabilidad alta
7038,12/4/2020,0,0,0,vulnerabilidad media
7039,12/4/2020,0,0,0,vulnerabilidad media
7040,12/4/2020,0,0,2,vulnerabilidad alta
7041,12/4/2020,2,1,3,vulnerabilidad media
7042,12/4/2020,0,0,1,vulnerabilidad baja
7043,12/4/2020,0,0,0,vulnerabilidad alta
7044,12/4/2020,0,0,0,vulnerabilidad baja
7045,12/4/2020,0,0,0,vulnerabilidad media
7046,12/4/2020,0,0,0,vulnerabilidad media
7047,12/4/2020,0,0,0,vulnerabilidad media
7048,12/4/2020,0,0,1,vulnerabilidad media
7049,12/4/2020,0,0,0,vulnerabilidad media
7050,12/4/2020,0,0,0,vulnerabilidad alta
7051,12/4/2020,0,0,1,vulnerabilidad alta
7052,12/4/2020,0,0,1,vulnerabilidad media
7053,12/4/2020,0,0,0,vulnerabilidad baja
7054,12/4/2020,0,0,1,vulnerabilidad media
7055,12/4/2020,0,0,1,vulnerabilidad media
7056,12/4/2020,0,0,0,vulnerabilidad alta
7057,12/4/2020,0,0,1,vulnerabilidad media
7058,12/4/2020,0,0,0,vulnerabilidad baja
7059,12/4/2020,1,0,5,vulnerabilidad media
7060,12/4/2020,0,0,0,vulnerabilidad baja
7061,12/4/2020,0,0,5,vulnerabilidad alta
7062,12/4/2020,0,0,0,vulnerabilidad media
7063,12/4/2020,0,0,0,vulnerabilidad baja
7064,12/4/2020,0,0,0,vulnerabilidad media
7065,12/4/2020,1,0,19,vulnerabilidad baja
7066,12/4/2020,0,0,0,vulnerabilidad media
7067,12/4/2020,0,0,0,vulnerabilidad baja
7068,12/4/2020,0,0,4,vulnerabilidad media
7069,12/4/2020,0,0,2,vulnerabilidad alta
7070,12/4/2020,0,0,0,vulnerabilidad media
7071,12/4/2020,0,0,0,vulnerabilidad alta
7072,12/4/2020,0,0,0,vulnerabilidad baja
7073,12/4/2020,0,0,0,vulnerabilidad media
7074,12/4/2020,1,1,5,vulnerabilidad baja
7075,12/4/2020,0,0,0,vulnerabilidad media
7076,12/4/2020,0,0,0,vulnerabilidad media
7077,12/4/2020,1,0,1,vulnerabilidad media
7078,12/4/2020,7,0,19,vulnerabilidad alta
7079,12/4/2020,0,0,0,vulnerabilidad media
7080,12/4/2020,0,0,0,vulnerabilidad baja
7081,12/4/2020,0,0,0,vulnerabilidad media
7082,12/4/2020,0,0,0,vulnerabilidad media
7083,12/4/2020,0,0,0,vulnerabilidad baja
7084,12/4/2020,0,0,0,vulnerabilidad baja
7085,12/4/2020,0,0,0,vulnerabilidad baja
7086,12/4/2020,1,0,3,vulnerabilidad baja
7087,12/4/2020,0,0,1,vulnerabilidad alta
7088,12/4/2020,0,0,0,vulnerabilidad media
7089,12/4/2020,4,1,35,vulnerabilidad muy alta
7090,12/4/2020,0,0,0,vulnerabilidad baja
7091,12/4/2020,0,0,0,vulnerabilidad media
7092,12/4/2020,0,0,2,vulnerabilidad baja
7093,12/4/2020,0,0,0,vulnerabilidad media
7094,12/4/2020,0,0,1,vulnerabilidad baja
7096,12/4/2020,0,0,0,vulnerabilidad media
7097,12/4/2020,1,1,3,vulnerabilidad media
7098,12/4/2020,0,0,0,vulnerabilidad baja
7099,12/4/2020,0,0,3,vulnerabilidad media
7100,12/4/2020,1,0,1,vulnerabilidad media
7101,12/4/2020,17,1,151,vulnerabilidad alta
7102,12/4/2020,0,0,3,vulnerabilidad alta
7103,12/4/2020,0,0,0,vulnerabilidad alta
7104,12/4/2020,0,0,0,vulnerabilidad media
7105,12/4/2020,0,0,0,vulnerabilidad media
7106,12/4/2020,0,0,1,vulnerabilidad baja
7107,12/4/2020,0,0,0,vulnerabilidad media
7108,12/4/2020,0,0,2,vulnerabilidad media
7109,12/4/2020,0,0,4,vulnerabilidad media
7110,12/4/2020,0,0,0,vulnerabilidad media
7111,12/4/2020,0,0,0,vulnerabilidad media
7112,12/4/2020,0,0,0,vulnerabilidad media
7113,12/4/2020,0,1,1,vulnerabilidad media
7114,12/4/2020,0,0,0,vulnerabilidad alta
7115,12/4/2020,0,0,0,vulnerabilidad media
7116,12/4/2020,0,0,0,vulnerabilidad media
7117,12/4/2020,0,0,0,vulnerabilidad baja
7118,12/4/2020,0,0,0,vulnerabilidad media
7119,12/4/2020,0,0,0,vulnerabilidad media
8001,12/4/2020,0,0,0,sin vulnerabilidad
8002,12/4/2020,0,0,1,sin vulnerabilidad
8003,12/4/2020,0,0,0,sin vulnerabilidad
8004,12/4/2020,0,0,1,sin vulnerabilidad
8005,12/4/2020,0,0,0,vulnerabilidad media
8006,12/4/2020,1,0,3,sin vulnerabilidad
8007,12/4/2020,0,0,1,vulnerabilidad alta
8008,12/4/2020,0,0,0,vulnerabilidad media
8009,12/4/2020,0,0,0,vulnerabilidad media
8010,12/4/2020,0,0,0,No Disponible
8011,12/4/2020,0,0,3,sin vulnerabilidad
8012,12/4/2020,0,0,1,No Disponible
8013,12/4/2020,0,0,4,sin vulnerabilidad
8014,12/4/2020,0,0,0,sin vulnerabilidad
8015,12/4/2020,0,0,0,vulnerabilidad baja
8016,12/4/2020,0,0,0,sin vulnerabilidad
8017,12/4/2020,2,0,10,sin vulnerabilidad
8018,12/4/2020,0,0,0,sin vulnerabilidad
8019,12/4/2020,14,3,96,sin vulnerabilidad
8020,12/4/2020,0,0,0,vulnerabilidad media
8021,12/4/2020,0,1,15,sin vulnerabilidad
8022,12/4/2020,0,0,0,sin vulnerabilidad
8023,12/4/2020,0,0,0,vulnerabilidad media
8024,12/4/2020,0,0,0,No Disponible
8025,12/4/2020,0,0,0,sin vulnerabilidad
8026,12/4/2020,0,0,0,sin vulnerabilidad
8027,12/4/2020,0,0,1,vulnerabilidad media
8028,12/4/2020,0,0,0,sin vulnerabilidad
8029,12/4/2020,0,0,1,vulnerabilidad media
8030,12/4/2020,0,1,1,vulnerabilidad media
8031,12/4/2020,0,0,0,vulnerabilidad media
8032,12/4/2020,0,1,8,sin vulnerabilidad
8033,12/4/2020,0,0,0,sin vulnerabilidad
8034,12/4/2020,0,0,0,sin vulnerabilidad
8035,12/4/2020,0,0,0,sin vulnerabilidad
8036,12/4/2020,0,0,1,sin vulnerabilidad
8037,12/4/2020,40,18,234,vulnerabilidad baja
8038,12/4/2020,1,0,3,sin vulnerabilidad
8039,12/4/2020,0,0,0,vulnerabilidad baja
8040,12/4/2020,0,0,0,vulnerabilidad baja
8041,12/4/2020,0,0,0,vulnerabilidad media
8042,12/4/2020,0,0,1,sin vulnerabilidad
8043,12/4/2020,0,0,0,sin vulnerabilidad
8044,12/4/2020,0,0,0,sin vulnerabilidad
8045,12/4/2020,1,0,2,sin vulnerabilidad
8046,12/4/2020,0,0,0,vulnerabilidad alta
8047,12/4/2020,0,0,0,vulnerabilidad media
8048,12/4/2020,2,0,4,sin vulnerabilidad
8049,12/4/2020,0,0,0,vulnerabilidad baja
8050,12/4/2020,0,1,4,sin vulnerabilidad
8051,12/4/2020,0,0,0,vulnerabilidad alta
8052,12/4/2020,1,0,4,vulnerabilidad media
8053,12/4/2020,0,0,0,sin vulnerabilidad
8054,12/4/2020,0,0,0,vulnerabilidad baja
8055,12/4/2020,0,0,2,sin vulnerabilidad
8056,12/4/2020,0,0,0,sin vulnerabilidad
8057,12/4/2020,0,0,0,sin vulnerabilidad
8058,12/4/2020,0,0,0,sin vulnerabilidad
8059,12/4/2020,0,0,0,vulnerabilidad baja
8060,12/4/2020,0,0,0,sin vulnerabilidad
8061,12/4/2020,0,0,0,sin vulnerabilidad
